,filename,isotope,energy,counts,unc_counts,intensity,unc_intensity,efficiency,unc_efficiency,decays,unc_decays,decay_rate,unc_decay_rate,chi2,start_time,live_time,real_time
0,../../2017_Feb_Zr/30MeV/AX130217_Zr05_18cm_30MeV.Spe,90NB,141.178,178.9773694779337,25.37794406011633,0.668,0.0069999999999999,0.0057414007394762,0.0023603067022246,47133.0095296953,20803.141122611836,155.55448689668415,68.65723142776183,0.8370302078485614,02/13/2017 15:07:40,300.0,303.0
1,../../2017_Feb_Zr/30MeV/AX130217_Zr05_18cm_30MeV.Spe,90Ym,202.53,198.2602293878865,46.38548813459981,0.973,0.004,0.0047172887202969,0.0008059505117556,43626.63133716748,13014.281496640018,143.98228164081675,42.95142408132019,1.7235085287688232,02/13/2017 15:07:40,300.0,303.0
2,../../2017_Feb_Zr/30MeV/AX130217_Zr05_18cm_30MeV.Spe,92Y,448.5,30.33948430657593,18.290791111750508,0.023,0.003,0.0023948359373282,0.0001242946765689,556321.655565699,358868.6880023779,1836.045067873594,1184.385108918739,1.160091692667088,02/13/2017 15:07:40,300.0,303.0
3,../../2017_Feb_Zr/30MeV/AX130217_Zr05_18cm_30MeV.Spe,92Y,561.1,27.18999612277308,35.00895368356297,0.024,0.003,0.0020084294568565,9.05970241617466e-05,569721.6132039862,745501.5558951806,1880.2693505082048,2460.401174571553,1.6547323846213924,02/13/2017 15:07:40,300.0,303.0
4,../../2017_Feb_Zr/30MeV/AX130217_Zr05_18cm_30MeV.Spe,92Y,844.3,2562.037746688226,3150.617859174497,0.0125,0.0014,0.0014683706373672,6.691803227335459e-05,140981196.88880616,174227329.4248711,465284.4781808785,575007.6878708617,572.8847350493912,02/13/2017 15:07:40,300.0,303.0
5,../../2017_Feb_Zr/30MeV/AX130217_Zr05_18cm_30MeV.Spe,89ZR,909.15,38.7960394145292,33.6243345994071,0.9904,0.04952,0.0013872207056192,6.790750871872452e-05,28520.20031674018,25217.928548041666,94.12607365260786,83.22748695723322,1.4219630331764257,02/13/2017 15:07:40,300.0,303.0
6,../../2017_Feb_Zr/30MeV/AX130217_Zr05_18cm_30MeV.Spe,92Y,912.8,16.997621314610445,33.562642002657995,0.0063,0.0008,0.001382918304076,6.796324420433473e-05,1970481.8951087436,3929230.355112338,6503.240577916645,12967.756947565473,1.4219630331764257,02/13/2017 15:07:40,300.0,303.0
7,../../2017_Feb_Zr/30MeV/AX130217_Zr05_18cm_30MeV.Spe,92Y,934.47,1.2227037291420966,4.323232039418998,0.139,0.015,0.0013578324619599,6.823887510297863e-05,6543.070851535664,23892.415625768583,21.59429323939163,78.85285685072141,0.7375894851522834,02/13/2017 15:07:40,300.0,303.0
8,../../2017_Feb_Zr/30MeV/AX130217_Zr05_18cm_30MeV.Spe,90NB,1129.224,70.46137751380421,10.21399033421074,0.927,0.005,0.0011671580716769,6.479018893803904e-05,65775.33840799595,12875.137406500722,217.0803247788645,42.49220266171856,0.9529048049136728,02/13/2017 15:07:40,300.0,303.0
9,../../2017_Feb_Zr/30MeV/AX130217_Zr05_18cm_30MeV.Spe,24NA,1368.626,1557.6627572059722,47.051821949275656,0.999936,1.5e-05,0.0010003702005716,7.826885478925491e-05,1572757.8426905675,137792.9015663306,5190.619942873161,454.7620513740284,1.8408725822460312,02/13/2017 15:07:40,300.0,303.0
