Isotope,R,R_unc,Rel_R_unc_in_percent
52MNg,534548.8925585366,53290.1028048332,9.97e+00
54MNg,2037190.507528742,223280.05814209397,1.10e+01
55COg,3507107.9072016953,100850.84927780679,2.88e+00
56COg,2178720.998976303,281333.25866397965,1.29e+01
57NIg,7169371.049547708,185075.92195956217,2.58e+00
57COg,65521001.90907824,423962.13330143644,6.47e-01
58COg,27776423.091009296,1534826.9231159813,5.53e+00
60COg,2714926.937293598,461250.47221668635,1.70e+01
61CUg,3100132.8115053806,62484.19392899092,2.02e+00
65NIg,92889.76418313029,8156.65196995896,8.78e+00
