Isotope,R,R_unc,Rel_R_unc_in_percent
52MNg,142542.60662156675,8156.080013990739,5.72e+00
55COg,3541416.3019157527,220178.3401868928,6.22e+00
56COg,1658272.0938522362,46890.12376153461,2.83e+00
57NIg,1350617.3954626343,16695.699795048142,1.24e+00
57COg,19985945.285235204,317648.41450701107,1.59e+00
58COg,42446165.159667306,6182497.193210519,1.46e+01
60CUg,12591558.4592812,184606.02433080337,1.47e+00
61CUg,2964932.738863131,55024.62172995072,1.86e+00
64CUg,1546216.7551761258,357435.1514969283,2.31e+01
65NIg,167762.33169487078,8565.1307174359,5.11e+00
