,filename,isotope,energy,counts,unc_counts,intensity,unc_intensity,efficiency,unc_efficiency,decays,unc_decays,decay_rate,unc_decay_rate,chi2,start_time,live_time,real_time
0,../../2017_Feb_Zr/30MeV/AY130217_Ni02_18cm_30MeV.Spe,55CO,91.9,800.4193433357007,79.34246975219317,0.0116,0.0009,0.0058240403383222,0.0042997857658308,12440118.31934837,9327232.6745754,39492.43910904245,29610.26245896952,1.5904521094670971,02/13/2017 20:10:42,300.0,315.0
1,../../2017_Feb_Zr/30MeV/AY130217_Ni02_18cm_30MeV.Spe,57CO,122.06065,1129.768282300022,96.93807705562055,0.856,0.0017,0.0058459694522428,0.0022573473499182,237054.5910309913,94034.3309322521,752.5542572412422,298.521685499213,1.843590225864972,02/13/2017 20:10:42,300.0,315.0
2,../../2017_Feb_Zr/30MeV/AY130217_Ni02_18cm_30MeV.Spe,57NI,127.164,2278.1088734945906,110.05906933931416,0.167,0.005,0.0058345507120669,0.0023546285044325,2454934.361156967,1001827.4127105544,7793.442416371324,3180.4044847954106,1.843590225864972,02/13/2017 20:10:42,300.0,315.0
3,../../2017_Feb_Zr/30MeV/AY130217_Ni02_18cm_30MeV.Spe,61CU,282.956,8384.704297217146,100.15445623911214,0.122,0.0061,0.0035381767892975,0.0002638743444098,20395656.55449289,1860817.3055352364,64748.11604600919,5907.356525508687,0.8629219409404232,02/13/2017 20:10:42,300.0,315.0
4,../../2017_Feb_Zr/30MeV/AY130217_Ni02_18cm_30MeV.Spe,61CU,373.05,1175.0326210125236,55.09570539966839,0.021,0.004,0.0027853497495093,0.0001620321175637,21093089.31884603,4359429.8864077525,66962.18831379691,13839.459956850009,0.9517315330653054,02/13/2017 20:10:42,300.0,315.0
5,../../2017_Feb_Zr/30MeV/AY130217_Ni02_18cm_30MeV.Spe,55CO,411.5,303.44815664095165,34.89350829385316,0.0107,0.0008,0.0025679281179112,0.000140457561981,11595972.114735384,1837144.2695103032,36812.60988804884,5832.204030191439,0.8809312769496183,02/13/2017 20:10:42,300.0,315.0
6,../../2017_Feb_Zr/30MeV/AY130217_Ni02_18cm_30MeV.Spe,55CO,477.2,5552.841370666391,95.69845608939777,0.2019999999999999,0.017,0.0022793038435983,0.000113858862442,12663418.913211403,1269824.5921896207,40201.329883210805,4031.1891815543513,1.561422249559666,02/13/2017 20:10:42,300.0,315.0
7,../../2017_Feb_Zr/30MeV/AY130217_Ni02_18cm_30MeV.Spe,55CO,520.0,224.66676152631828,163.61292984451896,0.0083,0.0008,0.0021305366769541,0.0001007754773075,13340159.338602938,9860195.981941452,42349.71218604107,31302.2094664808,32.1281866632181,02/13/2017 20:10:42,300.0,315.0
8,../../2017_Feb_Zr/30MeV/AY130217_Ni02_18cm_30MeV.Spe,61CU,529.169,97.2942041695697,129.1541622126489,0.0038,0.0007,0.0021017222000067,9.831322432240082e-05,12791378.820779532,17202144.47007646,40607.55181199851,54609.98244468718,32.1281866632181,02/13/2017 20:10:42,300.0,315.0
9,../../2017_Feb_Zr/30MeV/AY130217_Ni02_18cm_30MeV.Spe,61CU,588.605,441.3386214466074,31.161696372776436,0.0117,0.0021,0.001935663815138,8.494117402677027e-05,20461875.596037462,4162999.085711656,64958.335225515766,13215.870113370336,0.9911081302622547,02/13/2017 20:10:42,300.0,315.0
10,../../2017_Feb_Zr/30MeV/AY130217_Ni02_18cm_30MeV.Spe,61CU,656.008,3281.7660159900875,64.50536045366799,0.108,0.02,0.0017810527612956,7.469479226915805e-05,17914156.830245715,3433889.943900152,56870.33914363719,10901.23791714334,1.2006404757913285,02/13/2017 20:10:42,300.0,315.0
11,../../2017_Feb_Zr/30MeV/AY130217_Ni02_18cm_30MeV.Spe,52MN,744.233,98.68899463952388,21.589770176781787,0.9,0.012,0.0016171047893994,6.800265839967222e-05,71199.5667612475,17431.16700151987,226.03037067062692,55.33703810006308,1.376927101079275,02/13/2017 20:10:42,300.0,315.0
12,../../2017_Feb_Zr/30MeV/AY130217_Ni02_18cm_30MeV.Spe,55CO,803.7,299.4850298340943,25.05857489636621,0.0187,0.0015,0.0015248213545577,6.677476077256277e-05,11028179.98889452,1507762.400076522,35010.095202839744,4786.547301830228,1.0964204901292771,02/13/2017 20:10:42,300.0,315.0
14,../../2017_Feb_Zr/30MeV/AY130217_Ni02_18cm_30MeV.Spe,56CO,846.77,96.14979240263511,24.78921889907715,0.999399,0.04996995,0.0014650875388666,6.694386567085867e-05,68950.1419930237,19679.04827573416,218.8893396603927,62.47316912931479,2.072992177088592,02/13/2017 20:10:42,300.0,315.0
15,../../2017_Feb_Zr/30MeV/AY130217_Ni02_18cm_30MeV.Spe,61CU,908.631,331.6754808068065,23.377303794339937,0.011,0.002,0.0013878343011699,6.789939543588954e-05,22812472.808996305,4754321.359338395,72420.54859998827,15093.08368043935,1.0116160056054817,02/13/2017 20:10:42,300.0,315.0
16,../../2017_Feb_Zr/30MeV/AY130217_Ni02_18cm_30MeV.Spe,55CO,931.1,11254.921458973744,150.6471898598761,0.75,0.0375,0.0013616828698326,6.820287485253279e-05,11571629.776395736,840576.3979391159,36735.33262347853,2668.4965013940187,2.1484905228223745,02/13/2017 20:10:42,300.0,315.0
17,../../2017_Feb_Zr/30MeV/AY130217_Ni02_18cm_30MeV.Spe,52MN,935.544,128.3444575742179,35.154222476144426,0.945,0.013,0.0013566092419398,6.824976905602037e-05,105118.66531023083,30743.54805907538,333.71004860390747,97.59856526690596,2.1484905228223745,02/13/2017 20:10:42,300.0,315.0
18,../../2017_Feb_Zr/30MeV/AY130217_Ni02_18cm_30MeV.Spe,65NI,1115.53,162.54654906533705,22.12517546129825,0.1543,0.0013,0.0011784876249633,6.536060967976503e-05,938590.3834226746,156569.09996911135,2979.6520108656337,497.0447618067027,1.2367825649321345,02/13/2017 20:10:42,300.0,315.0
19,../../2017_Feb_Zr/30MeV/AY130217_Ni02_18cm_30MeV.Spe,61CU,1185.234,834.5491006159411,42.370104436442496,0.037,0.0069999999999999,0.0011231750882745,6.22422385955596e-05,21085893.374822214,4354089.8928583255,66939.34404705466,13822.507596375635,1.929111941745094,02/13/2017 20:10:42,300.0,315.0
20,../../2017_Feb_Zr/30MeV/AY130217_Ni02_18cm_30MeV.Spe,55CO,1316.6,782.5254783752962,42.58384852564948,0.071,0.003,0.0010323076184068,6.577991716513561e-05,11210379.236883933,1125794.528639215,35588.50551391725,3573.9508845689365,0.7362758447520817,02/13/2017 20:10:42,300.0,315.0
21,../../2017_Feb_Zr/30MeV/AY130217_Ni02_18cm_30MeV.Spe,60CU,1332.5,108.84638535080046,10.108128019128236,0.88,0.044,0.0010223261944602,6.868598404561165e-05,127037.2691995388,20016.054527628185,403.292918093774,63.54303024643868,0.7185128856954076,02/13/2017 20:10:42,300.0,315.0
22,../../2017_Feb_Zr/30MeV/AY130217_Ni02_18cm_30MeV.Spe,55CO,1370.0,1735.1117065490616,62.22012963136898,0.0289999999999999,0.003,0.0009995542956472,7.871802407977534e-05,62851023.03925331,8609863.3127391,199527.0572674708,27332.899405520955,1.5901767023204991,02/13/2017 20:10:42,300.0,315.0
23,../../2017_Feb_Zr/30MeV/AY130217_Ni02_18cm_30MeV.Spe,57NI,1377.63,1885.21993397564,64.56284007052797,0.8170000000000001,0.024,0.0009950498099014,8.132486761340948e-05,2434918.58609892,234131.39727319207,7729.900273329905,743.2742770577528,1.5901767023204991,02/13/2017 20:10:42,300.0,315.0
24,../../2017_Feb_Zr/30MeV/AY130217_Ni02_18cm_30MeV.Spe,55CO,1408.5,1726.5784865396718,56.22423153160818,0.1689999999999999,0.008,0.0009772701639312,9.380030339231284e-05,10976762.805323455,1256009.611167651,34846.8660486459,3987.332098944924,1.4453697053005974,02/13/2017 20:10:42,300.0,315.0
25,../../2017_Feb_Zr/30MeV/AY130217_Ni02_18cm_30MeV.Spe,52MN,1434.092,70.73554465091874,13.84600819674253,1.0,0.0139999999999999,0.0009630492687371,0.0001064288261409,77122.0375680842,19641.391149502237,244.8318652955054,62.35362269683249,2.507199119733622,02/13/2017 20:10:42,300.0,315.0
26,../../2017_Feb_Zr/30MeV/AY130217_Ni02_18cm_30MeV.Spe,65NI,1481.84,195.9838020926565,17.462511173048018,0.2359,0.011795,0.0009376933503794,0.0001352475208826,930295.0297849564,177355.13197165067,2953.3175548728777,563.0321649893672,1.1717918510627514,02/13/2017 20:10:42,300.0,315.0
