,filename,isotope,energy,counts,unc_counts,intensity,unc_intensity,efficiency,unc_efficiency,decays,unc_decays,decay_rate,unc_decay_rate,chi2,start_time,live_time,real_time
0,../../../2017_Feb_Zr/50MeV/BU170217_Fe01_18cm_50MeV.Spe,52MN,346.02,1138.5701789674836,67.26885394636942,0.0098,0.00014,0.0029685905075528,0.0001819076915074,39245149.12392256,3581422.677066389,3500.5930892804,319.45613032435904,0.8960533468823714,02/17/2017 10:44:06,11180.0,11211.0
1,../../../2017_Feb_Zr/50MeV/BU170217_Fe01_18cm_50MeV.Spe,52MN,600.16,288.03868200228294,49.28390908671546,0.0039,0.0001099999999999,0.0019069259302349,8.282760934268303e-05,38837827.88072623,7310357.391087101,3464.260804631721,652.0700553997949,0.8881610887168602,02/17/2017 10:44:06,11180.0,11211.0
2,../../../2017_Feb_Zr/50MeV/BU170217_Fe01_18cm_50MeV.Spe,52MN,647.47,360.68689825745565,45.10803699050793,0.004,0.0002,0.0017990266812138,7.57234325178198e-05,50261485.524777085,7570077.485882169,4483.229464345472,675.2365967248389,0.7897659103740289,02/17/2017 10:44:06,11180.0,11211.0
3,../../../2017_Feb_Zr/50MeV/BU170217_Fe01_18cm_50MeV.Spe,52MN,744.233,62898.77336054414,564.058348013233,0.9,0.012,0.0016171047893994,6.800265839967222e-05,43337519.71278629,1958585.3501084412,3865.624807134626,174.70210954495062,5.430497206664869,02/17/2017 10:44:06,11180.0,11211.0
4,../../../2017_Feb_Zr/50MeV/BU170217_Fe01_18cm_50MeV.Spe,56CO,846.77,10367.618386253693,180.8868422372986,0.999399,0.04996995,0.0014650875388666,6.694386567085867e-05,7100338.720287688,501501.5371220298,633.3367871097751,44.7329887719231,0.7698439783671923,02/17/2017 10:44:06,11180.0,11211.0
5,../../../2017_Feb_Zr/50MeV/BU170217_Fe01_18cm_50MeV.Spe,52MN,848.18,666.4712256748375,157.4745314007904,0.0332,0.0004,0.0014632207631675,6.695930328999324e-05,13757388.891256249,3357717.957290539,1227.133073878891,299.5020923459584,0.7698439783671923,02/17/2017 10:44:06,11180.0,11211.0
6,../../../2017_Feb_Zr/50MeV/BU170217_Fe01_18cm_50MeV.Spe,52MN,935.544,55269.68071642781,2360.0908461450404,0.945,0.013,0.0013566092419398,6.824976905602037e-05,43231760.84575389,2919904.025250609,3856.191316185344,260.44991751410305,109.37404928511609,02/17/2017 10:44:06,11180.0,11211.0
7,../../../2017_Feb_Zr/50MeV/BU170217_Fe01_18cm_50MeV.Spe,56CO,1037.843,1058.5013046549846,42.30473092682236,0.1405,0.0004,0.0012484441710002,6.771651666963602e-05,6051297.385382468,448458.91070180543,539.7642837733001,40.00168679884091,0.8673511848864764,02/17/2017 10:44:06,11180.0,11211.0
8,../../../2017_Feb_Zr/50MeV/BU170217_Fe01_18cm_50MeV.Spe,56CO,1238.288,4407.331432618933,74.59723523916976,0.6646,0.0012,0.0010845569540316,6.069496431208125e-05,6131483.438630074,370357.94741536,546.9167280911671,33.03522856260459,1.0906724874726454,02/17/2017 10:44:06,11180.0,11211.0
9,../../../2017_Feb_Zr/50MeV/BU170217_Fe01_18cm_50MeV.Spe,52MN,1246.278,2023.713407217174,55.68988877471665,0.0421,0.0007,0.0010789771629632,6.068527257621717e-05,44674243.7398296,3059840.114959078,3984.858062601874,272.9319520969653,1.0906724874726454,02/17/2017 10:44:06,11180.0,11211.0
10,../../../2017_Feb_Zr/50MeV/BU170217_Fe01_18cm_50MeV.Spe,52MN,1333.649,2210.7551189925616,52.83741312211518,0.0507,0.0007,0.0010216125945154,6.892601036531672e-05,42800514.60149918,3250047.044774026,3817.7249666844327,289.8980505551714,1.2045654416380898,02/17/2017 10:44:06,11180.0,11211.0
12,../../../2017_Feb_Zr/50MeV/BU170217_Fe01_18cm_50MeV.Spe,52MN,1434.092,41426.62380260545,716.3227895439362,1.0,0.0139999999999999,0.0009630492687371,0.0001064288261409,43135375.57146808,4867250.804039085,3847.5939319835934,434.1495677494501,13.63231536445464,02/17/2017 10:44:06,11180.0,11211.0
13,../../../2017_Feb_Zr/50MeV/BU170217_Fe01_18cm_50MeV.Spe,56CO,1771.357,718.6551721721914,32.53410351107192,0.1541,0.0006,0.00081052929915,0.0004421330618937,5769680.273660632,3165509.6263928865,514.6445699456455,282.3574726958243,1.5099242367113912,02/17/2017 10:44:06,11180.0,11211.0
15,../../../2017_Feb_Zr/50MeV/BU170217_Fe01_18cm_50MeV.Spe,56CO,2034.791,322.83874729224607,17.100675021579043,0.0776999999999999,0.0003,0.0007235517553906,0.0009003656684769,5758343.6867108485,7179186.994552848,513.6333678272098,640.3699040721477,0.8908056522504174,02/17/2017 10:44:06,11180.0,11211.0
16,../../../2017_Feb_Zr/50MeV/BU170217_Fe01_18cm_50MeV.Spe,56CO,2598.5,487.94534237884335,34.910340486808984,0.1697,0.0004,0.0005930215209887,0.0022926664615792,4862072.485636773,18801653.71297993,433.6876715401635,1677.071957272316,2.494768045645231,02/17/2017 10:44:06,11180.0,11211.0
